Name,Team,Pos,VOR2,Points,Ceiling,Floor,AAV,Risk,Image
Allen Hurns,DAL,WR,-39.49492585,153.049965,163.2809792,132.6312346,1.5,3.821001432,
Giovani Bernard,CIN,RB,-40.97900722,140.0182124,165.2804581,112.9151315,1.2,4.679256691,
Mike Gesicki,MIA,TE,-41.5736718,107.1321661,130.9977117,48.27,NA,5.299415193,
Theo Riddick,DET,RB,-42.44520637,138.5520133,160.5342224,113.8122085,1.1,4.331202299,
Cameron Meredith,NO,WR,-43.33687925,149.2080116,183.487118,106.0351303,1.2,3.874740773,
Chris Carson,SEA,RB,-43.61195584,137.3852638,173.6883904,67.7,3,6.624438722,
Devontae Booker,DEN,RB,-43.7293329,137.2678867,169.2442477,107.9931683,1.2,5.102835415,
Rishard Matthews,TEN,WR,-46.39659872,146.1482922,177.5579677,99.04260796,1.1,4.062828468,
Bilal Powell,NYJ,RB,-46.73635347,134.2608662,167.6079306,105.9183178,1.4,5.74641757,
Vernon Davis,WAS,TE,-47.44172169,101.2641162,120.7624586,63.81309171,NA,5.034905064,
D.J. Moore,CAR,WR,-47.65425257,144.8906383,181.7524405,96.2273892,1.5,3.829957989,
Danny Amendola,MIA,WR,-48.30537571,144.2395152,171.3144916,106.4100428,1.1,3.982219456,
Tyler Lockett,SEA,WR,-48.34890076,144.1959901,172.5517014,121.0559976,1.2,3.874740773,
Marqise Lee,JAC,WR,-48.4935931,144.0512978,172.713984,74.37148449,1.4,NA,
Joe Flacco,BAL,QB,-48.79957378,244.9619897,264.6369851,189.2,NA,5.27901402,
Rashaad Penny,SEA,RB,-49.791225,131.2059946,167.725872,74.954,9.6,6.376721879,
Keelan Cole,JAC,WR,-50.78143446,141.7634564,166.0037427,107.8248639,NA,4.259872719,
Martavis Bryant,OAK,WR,-52.06480805,140.4800828,176.260262,102.6512153,NA,3.892653887,
John Ross,CIN,WR,-54.34162309,138.2032678,151.8096034,117.7874457,1.2,4.116567809,
DOnta Foreman,HOU,RB,-56.41589722,124.5813224,149.4825435,48.431,NA,7.549581588,
Paul Richardson,WAS,WR,-56.55359923,135.9912917,156.2674407,83.67974635,1.1,3.812044875,
Calvin Ridley,ATL,WR,-57.10097586,135.443915,172.7985404,82.632,2,3.838914546,
John Brown,BAL,WR,-60.04285932,132.5020316,168.0935992,103.5441564,0,4.053871911,
C.J. Anderson,CAR,RB,-60.36947684,120.6277428,158.0531271,80.41858091,1.6,5.751087263,
